Datum,Vykonnost_fondu
16-07-2024,32.5430
17-07-2024,32.0500
18-07-2024,31.7600
19-07-2024,31.5010
20-07-2024,31.4640
21-07-2024,31.4640
22-07-2024,31.6220
23-07-2024,31.5960
24-07-2024,31.3520
25-07-2024,31.1950
26-07-2024,31.3480
27-07-2024,31.3640
28-07-2024,31.3640
29-07-2024,31.3890
30-07-2024,31.3150
31-07-2024,31.9740
01-08-2024,31.3990
02-08-2024,30.6450
03-08-2024,30.6430
04-08-2024,30.6430
05-08-2024,29.5020
06-08-2024,29.8680
07-08-2024,30.0790
08-08-2024,30.7180
09-08-2024,30.8670
10-08-2024,30.8640
11-08-2024,30.8640
12-08-2024,31.0000
13-08-2024,31.0730
14-08-2024,30.8620
15-08-2024,31.3310
16-08-2024,31.5490
17-08-2024,31.5330
18-08-2024,31.5330
19-08-2024,31.6890
20-08-2024,31.3590
21-08-2024,31.4960
22-08-2024,31.1420
23-08-2024,31.3880
24-08-2024,31.4040
25-08-2024,31.4040
26-08-2024,31.2660
27-08-2024,31.3010
28-08-2024,31.2360
29-08-2024,31.3640
30-08-2024,31.5180
31-08-2024,31.5180
01-09-2024,31.5180
02-09-2024,31.3720
03-09-2024,30.9950
04-09-2024,30.8500
05-09-2024,30.8450
06-09-2024,30.3520
07-09-2024,30.3520
08-09-2024,30.3520
09-09-2024,30.6890
10-09-2024,30.7160
11-09-2024,30.8060
12-09-2024,31.0270
13-09-2024,31.1010
14-09-2024,31.1010
15-09-2024,31.1010
16-09-2024,31.1020
17-09-2024,31.1400
18-09-2024,31.0910
19-09-2024,31.5890
20-09-2024,31.4680
21-09-2024,31.4730
22-09-2024,31.4730
23-09-2024,31.8570
24-09-2024,32.7120
25-09-2024,32.3750
26-09-2024,33.3760
27-09-2024,33.3280
28-09-2024,33.3280
29-09-2024,33.3280
30-09-2024,32.9370
01-10-2024,33.3150
02-10-2024,33.9250
03-10-2024,33.5300
04-10-2024,33.9670
05-10-2024,33.9920
06-10-2024,33.9920
07-10-2024,34.3260
08-10-2024,33.3270
09-10-2024,33.4680
10-10-2024,33.5340
11-10-2024,33.7110
12-10-2024,33.7110
13-10-2024,33.7110
14-10-2024,33.6760
15-10-2024,33.1000
16-10-2024,33.4280
17-10-2024,33.4640
18-10-2024,33.5960
19-10-2024,33.5640
20-10-2024,33.5640
21-10-2024,33.4600
22-10-2024,33.4540
23-10-2024,33.2460
24-10-2024,33.0900
25-10-2024,33.0810
26-10-2024,33.0810
27-10-2024,33.0810
28-10-2024,33.3300
29-10-2024,33.0930
30-10-2024,32.6650
31-10-2024,32.5400
01-11-2024,32.6700
02-11-2024,32.6700
03-11-2024,32.6700
04-11-2024,32.8190
05-11-2024,33.0000
06-11-2024,33.2040
07-11-2024,33.8110
08-11-2024,33.1310
09-11-2024,33.1310
10-11-2024,33.1310
11-11-2024,33.1790
12-11-2024,32.6540
13-11-2024,32.5630
14-11-2024,32.5100
15-11-2024,32.4290
16-11-2024,32.4460
17-11-2024,32.4460
18-11-2024,32.5800
19-11-2024,32.6370
20-11-2024,32.7000
21-11-2024,32.8530
22-11-2024,33.1490
23-11-2024,33.1490
24-11-2024,33.1490
25-11-2024,32.9440
26-11-2024,32.8450
27-11-2024,32.6030
28-11-2024,32.4930
29-11-2024,32.6740
30-11-2024,32.6810
01-12-2024,32.6810
02-12-2024,33.0000
03-12-2024,33.0350
04-12-2024,33.1990
05-12-2024,33.1260
06-12-2024,33.1020
07-12-2024,33.1050
08-12-2024,33.1050
09-12-2024,33.7620
10-12-2024,33.3210
11-12-2024,33.6070
12-12-2024,33.5040
13-12-2024,33.4520
14-12-2024,33.4520
15-12-2024,33.4520
16-12-2024,33.2400
17-12-2024,33.1000
18-12-2024,32.8290
19-12-2024,33.0030
20-12-2024,32.8820
21-12-2024,32.8730
22-12-2024,32.8730
23-12-2024,33.1000
24-12-2024,33.1140
25-12-2024,33.1140
26-12-2024,33.1140
27-12-2024,32.8550
28-12-2024,32.8660
29-12-2024,32.8660
30-12-2024,32.7030
31-12-2024,32.7030
01-01-2025,32.7030
02-01-2025,33.0380
03-01-2025,33.2140
04-01-2025,33.2030
05-01-2025,33.2030
06-01-2025,33.0300
07-01-2025,32.9730
08-01-2025,32.8740
09-01-2025,32.7520
10-01-2025,32.4520
11-01-2025,32.4700
12-01-2025,32.4700
13-01-2025,32.2890
14-01-2025,32.3510
15-01-2025,32.8200
16-01-2025,32.7560
17-01-2025,33.0670
18-01-2025,33.0670
19-01-2025,33.0670
20-01-2025,33.1430
21-01-2025,32.8640
22-01-2025,32.8700
23-01-2025,32.9400
24-01-2025,32.8580
25-01-2025,32.8580
26-01-2025,32.8580
27-01-2025,32.2510
28-01-2025,32.7330
29-01-2025,32.7740
30-01-2025,33.3240
