Datum,Vykonnost_fondu
16-07-2024,548.2400
17-07-2024,540.7800
18-07-2024,537.3000
19-07-2024,534.7000
20-07-2024,533.6001
21-07-2024,533.6000
22-07-2024,537.7900
23-07-2024,541.1001
24-07-2024,530.8201
25-07-2024,529.3801
26-07-2024,529.9600
27-07-2024,530.2890
28-07-2024,530.2890
29-07-2024,533.7600
30-07-2024,531.7771
31-07-2024,537.7000
01-08-2024,530.6001
02-08-2024,516.2000
03-08-2024,516.6401
04-08-2024,516.6400
05-08-2024,497.1699
06-08-2024,510.3159
07-08-2024,506.1201
08-08-2024,514.8601
09-08-2024,516.6401
10-08-2024,516.6200
11-08-2024,516.6200
12-08-2024,516.3601
13-08-2024,520.6799
14-08-2024,522.9399
15-08-2024,533.1599
16-08-2024,532.5601
17-08-2024,532.0400
18-08-2024,532.0400
19-08-2024,533.9080
20-08-2024,532.1599
21-08-2024,531.9399
22-08-2024,529.6951
23-08-2024,530.3801
24-08-2024,531.7290
25-08-2024,531.7290
26-08-2024,531.7600
27-08-2024,531.4399
28-08-2024,531.4399
29-08-2024,533.1401
30-08-2024,539.9600
31-08-2024,539.9600
01-09-2024,539.9600
02-09-2024,539.8669
03-09-2024,530.2400
04-09-2024,526.5100
05-09-2024,524.4800
06-09-2024,515.2800
07-09-2024,515.2800
08-09-2024,515.2800
09-09-2024,522.7800
10-09-2024,526.2200
11-09-2024,530.8201
12-09-2024,534.3901
13-09-2024,537.2200
14-09-2024,537.2200
15-09-2024,537.2200
16-09-2024,535.3201
17-09-2024,535.0200
18-09-2024,535.0601
19-09-2024,541.5911
20-09-2024,540.5200
21-09-2024,540.1200
22-09-2024,540.1200
23-09-2024,543.8000
24-09-2024,542.2800
25-09-2024,543.1401
26-09-2024,543.1799
27-09-2024,543.5200
28-09-2024,543.5200
29-09-2024,543.5200
30-09-2024,544.7200
01-10-2024,546.3601
02-10-2024,546.9399
03-10-2024,545.3840
04-10-2024,553.4800
05-10-2024,554.2600
06-10-2024,554.2600
07-10-2024,548.7200
08-10-2024,554.5500
09-10-2024,560.3201
10-10-2024,559.8801
11-10-2024,562.7000
12-10-2024,562.7000
13-10-2024,562.7000
14-10-2024,569.3000
15-10-2024,564.9199
16-10-2024,569.2000
17-10-2024,571.3660
18-10-2024,571.0200
19-10-2024,571.2000
20-10-2024,571.2000
21-10-2024,572.3000
22-10-2024,574.2600
22-10-2024,568.7800
24-10-2024,568.2100
25-10-2024,569.7551
26-10-2024,569.1000
27-10-2024,569.1000
28-10-2024,570.2800
29-10-2024,571.6401
30-10-2024,566.4199
31-10-2024,555.5200
01-11-2024,559.6201
02-11-2024,559.6200
03-11-2024,559.6200
04-11-2024,555.9600
05-11-2024,559.3201
06-11-2024,584.9800
07-11-2024,586.2300
08-11-2024,592.4199
09-11-2024,592.4200
10-11-2024,592.4200
11-11-2024,596.1201
12-11-2024,597.4001
13-11-2024,601.2000
14-11-2024,599.2400
15-11-2024,589.9399
16-11-2024,590.7000
17-11-2024,590.7000
18-11-2024,589.1599
19-11-2024,591.1799
20-11-2024,594.2200
21-11-2024,601.9600
22-11-2024,607.2400
23-11-2024,607.2400
24-11-2024,607.2400
25-11-2024,604.6001
26-11-2024,608.3240
27-11-2024,601.3792
28-11-2024,603.9600
29-11-2024,604.9199
30-11-2024,604.9210
01-12-2024,604.9210
02-12-2024,610.1201
