Datum,Vykonnost_fondu
16-07-2024,127.7400
17-07-2024,126.9200
18-07-2024,126.6000
19-07-2024,125.7800
20-07-2024,125.6800
21-07-2024,125.6800
22-07-2024,126.9400
23-07-2024,126.8400
24-07-2024,125.9600
25-07-2024,125.5400
26-07-2024,126.4800
27-07-2024,126.5400
28-07-2024,126.5400
29-07-2024,126.3400
30-07-2024,126.8200
31-07-2024,127.6400
01-08-2024,125.2800
02-08-2024,123.2400
03-08-2024,123.3400
04-08-2024,123.3400
05-08-2024,120.0000
06-08-2024,120.9600
07-08-2024,121.1800
08-08-2024,122.8400
09-08-2024,123.4000
10-08-2024,123.4800
11-08-2024,123.4800
12-08-2024,123.0800
13-08-2024,123.9400
14-08-2024,124.5000
15-08-2024,126.2200
16-08-2024,126.4000
17-08-2024,126.3200
18-08-2024,126.3200
19-08-2024,127.0200
20-08-2024,126.3000
21-08-2024,126.9800
22-08-2024,126.9200
23-08-2024,127.8800
24-08-2024,128.0200
25-08-2024,128.0200
26-08-2024,128.0600
27-08-2024,128.3200
28-08-2024,128.5400
29-08-2024,129.4000
30-08-2024,130.0400
31-08-2024,130.0400
01-09-2024,130.0400
02-09-2024,129.8000
03-09-2024,127.9000
04-09-2024,127.0400
05-09-2024,126.6200
06-09-2024,124.8400
07-09-2024,124.8400
08-09-2024,124.8400
09-09-2024,126.2400
10-09-2024,125.6600
11-09-2024,126.3400
12-09-2024,126.7600
13-09-2024,127.4200
14-09-2024,127.4200
15-09-2024,127.4200
16-09-2024,127.8000
17-09-2024,127.3400
18-09-2024,127.1800
19-09-2024,128.7000
20-09-2024,127.0200
21-09-2024,126.8200
22-09-2024,126.8200
23-09-2024,127.7600
24-09-2024,128.3800
25-09-2024,128.0800
26-09-2024,130.0600
27-09-2024,130.1000
28-09-2024,130.1000
29-09-2024,130.1000
30-09-2024,129.1600
01-10-2024,128.9200
02-10-2024,128.5600
03-10-2024,127.2400
04-10-2024,128.5000
05-10-2024,128.5200
06-10-2024,128.5200
07-10-2024,127.9200
08-10-2024,127.8000
09-10-2024,128.7000
10-10-2024,128.2600
11-10-2024,129.0600
12-10-2024,129.0600
13-10-2024,129.0600
14-10-2024,130.0000
15-10-2024,127.9600
16-10-2024,128.7000
18-10-2024,129.8200
19-10-2024,129.8800
20-10-2024,129.8800
21-10-2024,129.1000
22-10-2024,128.9600
23-10-2024,128.2000
24-10-2024,128.2400
25-10-2024,128.0000
26-10-2024,128.0200
27-10-2024,128.0200
28-10-2024,128.9400
29-10-2024,127.9200
30-10-2024,126.2400
31-10-2024,125.1800
01-11-2024,126.2000
02-11-2024,126.2000
03-11-2024,126.2000
04-11-2024,125.8800
05-11-2024,125.9000
06-11-2024,125.4800
07-11-2024,126.6600
08-11-2024,125.6200
09-11-2024,125.6200
10-11-2024,125.6200
11-11-2024,126.3800
12-11-2024,124.2600
13-11-2024,124.2000
14-11-2024,125.2800
15-11-2024,124.5000
16-11-2024,124.6800
17-11-2024,124.6800
18-11-2024,124.4400
19-11-2024,123.9800
20-11-2024,123.9200
21-11-2024,124.4600
22-11-2024,125.7800
23-11-2024,125.7800
24-11-2024,125.7800
25-11-2024,125.5800
26-11-2024,125.1800
27-11-2024,125.0200
28-11-2024,125.6200
29-11-2024,126.1200
30-11-2024,126.1400
01-12-2024,126.1400
02-12-2024,127.2800
03-12-2024,127.4400
04-12-2024,127.8600
05-12-2024,128.2600
06-12-2024,128.6000
07-12-2024,128.6000
08-12-2024,128.6000
09-12-2024,128.8000
10-12-2024,127.9000
11-12-2024,128.8200
12-12-2024,128.0000
13-12-2024,127.6600
14-12-2024,127.6600
15-12-2024,127.6600
16-12-2024,127.2200
17-12-2024,127.0400
18-12-2024,125.6800
19-12-2024,125.3400
20-12-2024,124.0400
21-12-2024,124.0400
22-12-2024,124.0400
23-12-2024,124.6200
24-12-2024,124.8400
25-12-2024,124.8400
26-12-2024,124.8400
27-12-2024,125.1000
28-12-2024,125.0800
29-12-2024,125.0800
30-12-2024,125.1000
31-12-2024,125.1000
01-01-2025,125.1000
02-01-2025,125.9800
03-01-2025,125.8200
04-01-2025,125.8200
05-01-2025,125.8200
06-01-2025,126.4400
07-01-2025,126.8800
08-01-2025,127.1400
09-01-2025,127.4800
10-01-2025,126.6600
11-01-2025,126.7000
12-01-2025,126.7000
13-01-2025,126.3000
14-01-2025,125.8200
15-01-2025,127.6200
16-01-2025,128.8000
17-01-2025,129.5600
18-01-2025,129.5600
19-01-2025,129.5600
20-01-2025,129.8000
21-01-2025,130.4800
22-01-2025,130.4400
23-01-2025,131.4200
24-01-2025,131.0800
25-01-2025,131.0800
26-01-2025,131.0800
27-01-2025,131.4400
28-01-2025,131.9000
29-01-2025,132.2600
30-01-2025,133.9200
