Datum,Vykonnost_fondu
16-07-2024,60.1100
17-07-2024,59.9300
18-07-2024,60.0900
19-07-2024,59.6000
20-07-2024,59.5700
21-07-2024,59.5700
22-07-2024,60.0000
23-07-2024,59.7900
24-07-2024,59.4800
25-07-2024,59.1400
26-07-2024,59.6900
27-07-2024,59.7300
28-07-2024,59.7300
29-07-2024,59.6100
30-07-2024,60.1600
31-07-2024,60.4700
01-08-2024,59.3500
02-08-2024,58.1100
03-08-2024,58.1500
04-08-2024,58.1500
05-08-2024,56.0600
06-08-2024,56.6500
07-08-2024,56.8100
08-08-2024,57.2400
09-08-2024,57.5400
10-08-2024,57.5800
11-08-2024,57.5800
12-08-2024,57.4400
13-08-2024,57.7300
14-08-2024,57.9500
15-08-2024,58.5600
16-08-2024,58.6500
17-08-2024,58.6300
18-08-2024,58.6300
19-08-2024,58.9700
20-08-2024,58.6400
21-08-2024,59.0100
22-08-2024,58.9700
23-08-2024,59.5600
24-08-2024,59.6400
25-08-2024,59.6400
26-08-2024,59.6400
27-08-2024,59.6400
28-08-2024,59.6200
29-08-2024,59.7000
30-08-2024,60.2200
31-08-2024,60.2200
01-09-2024,60.2200
02-09-2024,59.9800
03-09-2024,58.9200
04-09-2024,58.8600
05-09-2024,58.9000
06-09-2024,57.9600
07-09-2024,57.9600
08-09-2024,57.9600
09-09-2024,58.3600
10-09-2024,58.5200
11-09-2024,58.3800
12-09-2024,58.7600
13-09-2024,59.2900
14-09-2024,59.2900
15-09-2024,59.2900
16-09-2024,59.4900
17-09-2024,59.3900
18-09-2024,59.3000
19-09-2024,60.3600
20-09-2024,59.4900
21-09-2024,59.4700
22-09-2024,59.4700
23-09-2024,59.8300
24-09-2024,59.7400
25-09-2024,59.4600
26-09-2024,60.7600
27-09-2024,60.7400
28-09-2024,60.7400
29-09-2024,60.7400
30-09-2024,60.3800
01-10-2024,60.1100
02-10-2024,59.7500
03-10-2024,59.1400
04-10-2024,59.9200
05-10-2024,60.0500
06-10-2024,60.0500
07-10-2024,59.3600
08-10-2024,59.2000
09-10-2024,59.7000
10-10-2024,59.3600
11-10-2024,59.6600
12-10-2024,59.6600
13-10-2024,59.6600
14-10-2024,59.7500
15-10-2024,59.4600
16-10-2024,59.8500
17-10-2024,59.9400
18-10-2024,60.1100
19-10-2024,60.1100
20-10-2024,60.1100
21-10-2024,59.6000
22-10-2024,59.6600
23-10-2024,59.1800
24-10-2024,59.1900
25-10-2024,59.0300
26-10-2024,59.0500
27-10-2024,59.0500
28-10-2024,59.5300
29-10-2024,59.0800
30-10-2024,58.5000
31-10-2024,57.7800
01-11-2024,58.0000
02-11-2024,58.0000
03-11-2024,58.0000
04-11-2024,57.8500
05-11-2024,57.9200
06-11-2024,57.8800
07-11-2024,58.8400
08-11-2024,58.4600
09-11-2024,58.4600
10-11-2024,58.4600
11-11-2024,58.7700
12-11-2024,57.7200
13-11-2024,57.6400
14-11-2024,58.0000
15-11-2024,57.8900
16-11-2024,57.9500
17-11-2024,57.9500
18-11-2024,57.5100
19-11-2024,57.3500
20-11-2024,57.2500
21-11-2024,57.3400
22-11-2024,58.0300
23-11-2024,58.0300
24-11-2024,58.0300
25-11-2024,58.2800
26-11-2024,57.6900
27-11-2024,58.0800
28-11-2024,58.3600
29-11-2024,58.3800
30-11-2024,58.3900
01-12-2024,58.3900
02-12-2024,58.6900
03-12-2024,58.6500
04-12-2024,59.1700
05-12-2024,59.2500
06-12-2024,59.4100
07-12-2024,59.4100
08-12-2024,59.4100
09-12-2024,59.4600
10-12-2024,59.3600
11-12-2024,59.8500
12-12-2024,59.3400
13-12-2024,59.1100
14-12-2024,59.1100
15-12-2024,59.1100
16-12-2024,58.7900
17-12-2024,58.2700
18-12-2024,57.7400
19-12-2024,57.5800
20-12-2024,57.4800
21-12-2024,57.4800
22-12-2024,57.4800
23-12-2024,57.5800
24-12-2024,57.6900
25-12-2024,57.6900
26-12-2024,57.6900
27-12-2024,57.9300
28-12-2024,57.9900
29-12-2024,57.9900
30-12-2024,57.8800
31-12-2024,57.8800
01-01-2025,57.8800
02-01-2025,58.4500
03-01-2025,58.5500
04-01-2025,58.5600
05-01-2025,58.5600
06-01-2025,58.6500
07-01-2025,58.2900
08-01-2025,57.8000
09-01-2025,57.8400
10-01-2025,57.3800
11-01-2025,57.3800
12-01-2025,57.3800
13-01-2025,56.9900
14-01-2025,56.7800
15-01-2025,58.0400
16-01-2025,58.3900
17-01-2025,58.7100
18-01-2025,58.7100
19-01-2025,58.7100
20-01-2025,58.8000
21-01-2025,59.2300
22-01-2025,59.1200
23-01-2025,59.3800
24-01-2025,59.2700
25-01-2025,59.2700
26-01-2025,59.2700
27-01-2025,59.3500
28-01-2025,59.8200
29-01-2025,59.8400
30-01-2025,60.7400
31-01-2025,60.3700
01-02-2025,60.3700
02-02-2025,60.3700
03-02-2025,59.9700
04-02-2025,60.1100
05-02-2025,60.5700
06-02-2025,60.9000
07-02-2025,60.6400
08-02-2025,60.6400
09-02-2025,60.6400
10-02-2025,61.2600
11-02-2025,61.3100
12-02-2025,61.3400
13-02-2025,61.4800
14-02-2025,61.7200
15-02-2025,61.7000
16-02-2025,61.7000
17-02-2025,62.0500
18-02-2025,61.9700
19-02-2025,61.3100
20-02-2025,61.2300
21-02-2025,61.1300
22-02-2025,61.1500
23-02-2025,61.1500
24-02-2025,61.1800
25-02-2025,61.5100
26-02-2025,61.3000
27-02-2025,61.0200
28-02-2025,61.0100
01-03-2025,61.0100
02-03-2025,61.0100
03-03-2025,60.7700
04-03-2025,60.6100
05-03-2025,61.1100
06-03-2025,60.7000
07-03-2025,61.4300
08-03-2025,61.4900
09-03-2025,61.4900
10-03-2025,59.9600
11-03-2025,59.5900
12-03-2025,59.9100
13-03-2025,59.4200
14-03-2025,60.7300
15-03-2025,60.7500
16-03-2025,60.7500
17-03-2025,61.2600
18-03-2025,61.5900
19-03-2025,61.7800
20-03-2025,61.3800
21-03-2025,60.9900
22-03-2025,60.9300
23-03-2025,60.9300
24-03-2025,61.1000
25-03-2025,61.4900
26-03-2025,61.0900
27-03-2025,60.8600
28-03-2025,60.1800
29-03-2025,60.1800
30-03-2025,60.1800
31-03-2025,59.5300
01-04-2025,59.4700
02-04-2025,59.4600
03-04-2025,58.0000
04-04-2025,54.2200
06-04-2025,53.9200
07-04-2025,53.1500
08-04-2025,52.8000
09-04-2025,55.8100
10-04-2025,54.4500
11-04-2025,55.5500
12-04-2025,55.4800
13-04-2025,55.4800
14-04-2025,56.2300
15-04-2025,57.2100
16-04-2025,56.5900
17-04-2025,57.3200
18-04-2025,57.2000
19-04-2025,57.2000
20-04-2025,57.2000
21-04-2025,57.2000
22-04-2025,57.5500
23-04-2025,58.0100
24-04-2025,58.5500
25-04-2025,58.8300
26-04-2025,58.9300
27-04-2025,58.9300
28-04-2025,59.2200
29-04-2025,59.5100
30-04-2025,60.1800
01-05-2025,60.1800
02-05-2025,61.4000
03-05-2025,61.4000
04-05-2025,61.4000
05-05-2025,61.4000
06-05-2025,61.1300
07-05-2025,61.4900
08-05-2025,61.8900
09-05-2025,62.1400
10-05-2025,62.1100
11-05-2025,62.1100
12-05-2025,63.1400
13-05-2025,63.1900
14-05-2025,63.3600
15-05-2025,63.6100
16-05-2025,63.9600
17-05-2025,63.9800
18-05-2025,63.9800
19-05-2025,64.1300
20-05-2025,64.4500
21-05-2025,63.8300
22-05-2025,63.8900
