Datum,Vykonnost_fondu
16-07-2024,59.5000
17-07-2024,59.0000
18-07-2024,58.3300
19-07-2024,57.6700
20-07-2024,57.4600
21-07-2024,57.4600
22-07-2024,57.7600
23-07-2024,59.4300
24-07-2024,58.9100
25-07-2024,59.1300
26-07-2024,59.4500
27-07-2024,59.5700
28-07-2024,59.5700
29-07-2024,59.1600
30-07-2024,59.5000
31-07-2024,60.0400
01-08-2024,57.6900
02-08-2024,55.3700
03-08-2024,55.3600
04-08-2024,55.3600
05-08-2024,53.1300
06-08-2024,54.3300
07-08-2024,53.5600
08-08-2024,54.6300
09-08-2024,54.5500
10-08-2024,54.5800
11-08-2024,54.5800
12-08-2024,54.0800
13-08-2024,54.3800
14-08-2024,54.1700
15-08-2024,55.9800
16-08-2024,55.7000
17-08-2024,55.5700
18-08-2024,55.5700
19-08-2024,55.9600
20-08-2024,55.3100
21-08-2024,55.6300
22-08-2024,55.5900
23-08-2024,56.7100
24-08-2024,56.8100
25-08-2024,56.8100
26-08-2024,57.1900
27-08-2024,56.5100
28-08-2024,56.4700
29-08-2024,57.0900
30-08-2024,57.5100
31-08-2024,57.5100
01-09-2024,57.5100
02-09-2024,57.2200
03-09-2024,56.0100
04-09-2024,55.4900
05-09-2024,55.1900
06-09-2024,54.0700
07-09-2024,54.0700
08-09-2024,54.0700
09-09-2024,54.5300
10-09-2024,54.4500
11-09-2024,54.6600
12-09-2024,55.1400
13-09-2024,56.4600
14-09-2024,56.4600
15-09-2024,56.4600
16-09-2024,56.4600
17-09-2024,56.8500
18-09-2024,56.9600
19-09-2024,57.9100
20-09-2024,57.4800
21-09-2024,57.2800
22-09-2024,57.2800
23-09-2024,57.3900
24-09-2024,57.1500
25-09-2024,56.6600
26-09-2024,56.7600
27-09-2024,57.1700
28-09-2024,57.1700
29-09-2024,57.1700
30-09-2024,57.2200
01-10-2024,57.0100
02-10-2024,57.0500
03-10-2024,56.6300
04-10-2024,57.8000
05-10-2024,57.8000
06-10-2024,57.8000
07-10-2024,57.2300
08-10-2024,57.4300
09-10-2024,57.7100
10-10-2024,57.4500
11-10-2024,58.6400
12-10-2024,58.6400
13-10-2024,58.6400
14-10-2024,59.1800
15-10-2024,59.5600
16-10-2024,60.4900
17-10-2024,60.4800
18-10-2024,60.1800
19-10-2024,60.1400
20-10-2024,60.1400
21-10-2024,59.4700
22-10-2024,59.3300
23-10-2024,58.8800
24-10-2024,58.8100
25-10-2024,58.7300
26-10-2024,58.7000
27-10-2024,58.7000
28-10-2024,59.5500
29-10-2024,59.3900
30-10-2024,58.9500
31-10-2024,57.9600
01-11-2024,58.5300
02-11-2024,58.5300
03-11-2024,58.5300
04-11-2024,58.6500
05-11-2024,59.2900
06-11-2024,64.0000
07-11-2024,63.4900
08-11-2024,64.2600
09-11-2024,64.2600
10-11-2024,64.2600
11-11-2024,65.6600
12-11-2024,64.8000
13-11-2024,64.6400
14-11-2024,63.8600
15-11-2024,62.8700
16-11-2024,62.8600
17-11-2024,62.8600
18-11-2024,62.6200
19-11-2024,62.9200
20-11-2024,62.8800
21-11-2024,64.8900
22-11-2024,66.1900
23-11-2024,66.1900
24-11-2024,66.1900
25-11-2024,66.8900
26-11-2024,66.6000
27-11-2024,65.9500
28-11-2024,66.2800
29-11-2024,65.4300
30-11-2024,65.4700
01-12-2024,65.4700
02-12-2024,66.5600
03-12-2024,66.0000
04-12-2024,66.3300
05-12-2024,65.1400
06-12-2024,65.4000
07-12-2024,65.4900
08-12-2024,65.4900
09-12-2024,65.2900
10-12-2024,65.0000
11-12-2024,65.6200
12-12-2024,64.8100
13-12-2024,64.2200
14-12-2024,64.2200
15-12-2024,64.2200
16-12-2024,64.6000
17-12-2024,63.8700
18-12-2024,61.8900
19-12-2024,61.6000
20-12-2024,61.6800
21-12-2024,61.6800
22-12-2024,61.6800
23-12-2024,61.4000
24-12-2024,61.5000
25-12-2024,61.5000
26-12-2024,61.5000
27-12-2024,61.7700
28-12-2024,61.8000
29-12-2024,61.8000
30-12-2024,61.4600
31-12-2024,61.4600
01-01-2025,61.4600
02-01-2025,62.3900
03-01-2025,63.2100
04-01-2025,63.2300
05-01-2025,63.2300
06-01-2025,62.7000
07-01-2025,62.1500
08-01-2025,62.3700
09-01-2025,61.9900
10-01-2025,61.3600
11-01-2025,61.4500
12-01-2025,61.4500
13-01-2025,61.7500
14-01-2025,61.7600
15-01-2025,63.1800
16-01-2025,63.2800
17-01-2025,63.7100
18-01-2025,63.7100
19-01-2025,63.7100
20-01-2025,63.1700
21-01-2025,63.9100
22-01-2025,63.6100
23-01-2025,63.7400
24-01-2025,63.2100
25-01-2025,63.2100
26-01-2025,63.2100
27-01-2025,62.4600
28-01-2025,63.1500
29-01-2025,63.1100
30-01-2025,63.9100
31-01-2025,63.3800
01-02-2025,63.3800
02-02-2025,63.3800
03-02-2025,63.0300
04-02-2025,63.3000
05-02-2025,63.9200
06-02-2025,63.7900
07-02-2025,63.4400
08-02-2025,63.5200
09-02-2025,63.5200
10-02-2025,63.9700
11-02-2025,63.1700
12-02-2025,62.4900
13-02-2025,62.8300
14-02-2025,62.5600
15-02-2025,62.5200
16-02-2025,62.5200
17-02-2025,62.6800
18-02-2025,63.0300
19-02-2025,63.1100
20-02-2025,61.9900
21-02-2025,60.7000
22-02-2025,60.5300
23-02-2025,60.5300
24-02-2025,60.1400
25-02-2025,59.5600
26-02-2025,59.7500
27-02-2025,59.4700
28-02-2025,59.9700
01-03-2025,59.9700
02-03-2025,59.9700
03-03-2025,57.6700
04-03-2025,56.7600
05-03-2025,56.0400
06-03-2025,55.1400
07-03-2025,55.2800
08-03-2025,55.1500
09-03-2025,55.1500
10-03-2025,53.7800
11-03-2025,53.4200
12-03-2025,53.5300
13-03-2025,53.0700
14-03-2025,53.9300
15-03-2025,53.9200
16-03-2025,53.9200
17-03-2025,54.4900
18-03-2025,54.0200
19-03-2025,55.0600
20-03-2025,54.9000
21-03-2025,54.8900
22-03-2025,54.8900
23-03-2025,54.8900
24-03-2025,56.2200
25-03-2025,56.0300
26-03-2025,55.5500
27-03-2025,55.2400
28-03-2025,53.5900
29-03-2025,53.5900
30-03-2025,53.5900
31-03-2025,53.6800
01-04-2025,53.6000
02-04-2025,54.2900
03-04-2025,50.2200
